q1_anchor_deg,q2_anchor_deg,q1_dot,q2_dot,recovered,settling_time,total_control_effort,peak_angle_error,peak_cart_displacement
2.0,2.0,-1.0,-0.75,False,nan,8851.443752314504,112.31938888828623,2.033700246768979
2.0,2.0,-1.0,-0.5,True,3.17,347.68671993546633,0.32828330540456024,1.5543629805245767
2.0,2.0,-1.0,-0.25,True,3.29,184.81414547028157,0.2572240423014435,1.5309620497239187
2.0,2.0,-1.0,0.0,True,3.165,108.76589892156923,0.19564139151956791,1.325156078496374
2.0,2.0,-1.0,0.25,True,2.97,58.79440442771403,0.13627707418899798,1.0894555501288359
2.0,2.0,-1.0,0.5,True,2.785,29.354563325552718,0.10067947421909353,0.8357142265162856
2.0,2.0,-1.0,0.75,True,2.445,17.992331632000745,0.07205044887173591,0.5754071396021408
2.0,2.0,-1.0,1.0,True,1.8800000000000001,23.589111826691152,0.0658158568124718,0.3295837579391079
2.0,2.0,-1.0,1.25,True,2.005,45.77455254922346,0.11027813146976095,0.20429794401848808
2.0,2.0,-1.0,1.5,True,2.08,87.33084920412809,0.17509486468172727,0.28431602256700045
2.0,2.0,-1.0,1.75,True,2.865,158.2757543428893,0.2538161346645456,0.5745036279162776
2.0,2.0,-1.0,2.0,True,2.975,284.1158559383652,0.3456801641165773,0.8288376011091256
2.0,2.0,-0.75,-2.0,False,nan,8801.042864311372,46.45942903294738,2.0290708942137923
2.0,2.0,-0.75,-1.75,False,nan,8823.017662047661,105.74685358573096,2.0557115924054483
2.0,2.0,-0.75,-1.5,False,nan,8844.845624291494,27.57847556472414,2.04462020907478
2.0,2.0,-0.75,-1.25,False,nan,8819.500063925918,68.61684377404036,2.0413820469652033
2.0,2.0,-0.75,-1.0,True,8.335,6488.32051360212,2461.809619417523,19.298243877601752
2.0,2.0,-0.75,-0.75,True,3.2800000000000002,273.9874348482422,0.3123680940070685,1.5484009940248746
2.0,2.0,-0.75,-0.5,True,3.215,161.78914863389028,0.2428437967533118,1.3773830769755606
2.0,2.0,-0.75,-0.25,True,3.04,91.56230503496529,0.1809001616078443,1.159205640999138
2.0,2.0,-0.75,0.0,True,2.895,45.21174855625632,0.12146248035734648,0.9167444137905622
2.0,2.0,-0.75,0.25,True,2.645,18.38297998630579,0.07928664721871363,0.6586332304849497
2.0,2.0,-0.75,0.5,True,1.98,9.164116768079353,0.05062087427110151,0.39639133058189346
2.0,2.0,-0.75,0.75,True,1.6300000000000001,16.71219404604522,0.06314671908454549,0.1763071621771647
2.0,2.0,-0.75,1.0,True,1.995,40.80448399116546,0.11614846497625897,0.16320063010276045
2.0,2.0,-0.75,1.25,True,2.605,83.05631187184844,0.1790437127789533,0.42826842955817046
2.0,2.0,-0.75,1.5,True,2.9250000000000003,151.76828378820127,0.25292134468896826,0.7042086265456587
2.0,2.0,-0.75,1.75,True,3.0100000000000002,268.2420213519698,0.33769256137374426,0.9464052087089433
2.0,2.0,-0.75,2.0,False,nan,8072.676047727774,4786.191005786124,9.852226723734582
2.0,2.0,-0.5,-2.0,False,nan,8801.921830679838,41.12258217829457,2.022583043777205
2.0,2.0,-0.5,-1.75,False,nan,8834.29447027545,23.948378564174675,2.053669912773168
2.0,2.0,-0.5,-1.5,False,nan,8841.571706684377,122.74332962228063,2.0413671907311404
2.0,2.0,-0.5,-1.25,True,9.025,7038.6338056547065,30189.139085077197,14.876244573838074
2.0,2.0,-0.5,-1.0,True,3.24,244.98048728705294,0.3004601477996962,1.4258921251389967
2.0,2.0,-0.5,-0.75,True,3.12,143.6665541338013,0.22972208980078448,1.2216252635897622
2.0,2.0,-0.5,-0.5,True,2.975,78.18601467167339,0.16701111287084203,0.9911420603240748
2.0,2.0,-0.5,-0.25,True,2.8000000000000003,35.014142465596365,0.10756121229392628,0.7429114461995698
2.0,2.0,-0.5,0.0,True,2.4,10.583468554294175,0.05798721844752289,0.4810378825518305
2.0,2.0,-0.5,0.25,True,1.3,3.407152188241532,0.0399582413552917,0.21747582031166585
2.0,2.0,-0.5,0.5,True,1.815,12.874646772733767,0.06874239539469053,0.08365674953094182
2.0,2.0,-0.5,0.75,True,1.99,38.95259076114176,0.12526719869436312,0.32350390211879826
2.0,2.0,-0.5,1.0,True,2.775,82.70530326482731,0.18613926629228705,0.581506045529073
2.0,2.0,-0.5,1.25,True,2.97,151.1317861953929,0.2560184875542769,0.8413908285992064
2.0,2.0,-0.5,1.5,True,3.035,263.3842417881954,0.335333986338119,1.0683898051403895
2.0,2.0,-0.5,1.75,False,nan,8816.733984717774,91.39166335752071,2.051117024374657
2.0,2.0,-0.5,2.0,False,nan,8814.055804822858,58.150329021689885,2.044522130876384
2.0,2.0,-0.25,-2.0,False,nan,8347.954653339784,10659.907366718608,24.76819585111476
2.0,2.0,-0.25,-1.75,False,nan,8823.18574516461,74.11613151945676,2.049767408566227
2.0,2.0,-0.25,-1.5,False,nan,8743.846831792736,88.45513068767542,2.029380721434597
2.0,2.0,-0.25,-1.25,True,3.1750000000000003,226.19271597834052,0.29095238029077375,1.2873176592222895
2.0,2.0,-0.25,-1.0,True,3.035,130.10648309098272,0.2181115135557325,1.065162120631863
2.0,2.0,-0.25,-0.75,True,2.9050000000000002,68.44508976688316,0.15409988795739565,0.8217042268899436
2.0,2.0,-0.25,-0.5,True,2.645,28.111161548206177,0.09486767240104603,0.56871037805151
2.0,2.0,-0.25,-0.25,True,1.75,5.913757946168354,0.039311697160789666,0.3037007553645552
2.0,2.0,-0.25,0.0,True,1.2,0.7061846438641963,0.03490658503988659,0.04356757110874716
2.0,2.0,-0.25,0.25,True,1.87,12.081923007834341,0.07919955901534206,0.234286014347935
2.0,2.0,-0.25,0.5,True,2.585,40.19572895548608,0.13637833674834018,0.49114771743961977
2.0,2.0,-0.25,0.75,True,2.875,86.0384627218662,0.19550694921779901,0.739068080832169
2.0,2.0,-0.25,1.0,True,3.015,155.61587084089018,0.26218407338236277,0.9831833727287063
2.0,2.0,-0.25,1.25,True,3.1,267.2181341192551,0.3371748988299907,1.193517038766653
2.0,2.0,-0.25,1.5,False,nan,8812.949974796378,46.72263225649508,2.0479017629365446
2.0,2.0,-0.25,1.75,False,nan,8824.954620818646,49.620744782772654,2.0328869013585953
2.0,2.0,-0.25,2.0,False,nan,8813.823942889507,34.35650339352654,2.0464072916844134
2.0,2.0,0.0,-2.0,False,nan,8821.25112923671,44.50848896091705,2.0370719025553505
2.0,2.0,0.0,-1.75,False,nan,8741.566825520993,70.98963386649108,2.024277947917573
2.0,2.0,0.0,-1.5,True,3.09,213.93757104640855,0.2839811805864821,1.1491800351478434
2.0,2.0,0.0,-1.25,True,2.985,120.94247867775663,0.208406994383309,0.9095823711269141
2.0,2.0,0.0,-1.0,True,2.805,62.18556991340282,0.1426146419270484,0.6526620125550282
2.0,2.0,0.0,-0.75,True,1.93,24.438364540105404,0.08386245102830632,0.39534917979669437
2.0,2.0,0.0,-0.5,True,1.2650000000000001,4.34704827090402,0.03490658503988659,0.1290400280810581
2.0,2.0,0.0,-0.25,True,1.485,1.057529328487163,0.03902002281203809,0.14195232058160626
2.0,2.0,0.0,0.0,True,1.8900000000000001,14.35107876761365,0.092150195265009,0.4064612332781504
2.0,2.0,0.0,0.25,True,2.765,44.58455742761958,0.1487576285241544,0.6600836029803122
2.0,2.0,0.0,0.5,True,2.95,92.96076535095288,0.20654544488723775,0.8983540288491242
2.0,2.0,0.0,0.75,True,3.045,164.90212835576995,0.27052581259982855,1.1266306061699023
2.0,2.0,0.0,1.0,True,3.145,282.2515184555446,0.3425472007310014,1.303719417842671
2.0,2.0,0.0,1.25,False,nan,8778.84581658775,45.58193657787848,2.061002561309457
2.0,2.0,0.0,1.5,False,nan,8739.64349134383,93.64925705873715,2.035108647721425
2.0,2.0,0.0,1.75,False,nan,8865.734387088301,61.36969328240887,2.0546280430406516
2.0,2.0,0.0,2.0,False,nan,8709.144547245805,59.038687678034876,2.05657956566608
2.0,2.0,0.25,-2.0,False,nan,8764.872117773542,61.489751070311,2.0513663508646958
2.0,2.0,0.25,-1.75,True,3.045,208.31960285959454,0.28014698200812427,1.0134367056486886
