q1_deg,q2_deg,recovered,settling_time,total_control_effort,peak_angle_error,peak_cart_displacement
-9.0,-2.0,True,2.935,63.96301925188978,0.22619788230361634,0.9970761966493131
-9.0,-1.0,True,2.87,45.89867959870045,0.2024858353612415,0.8960336399026504
-9.0,0.0,True,2.775,31.873833221986903,0.18064293356193767,0.789743613991782
-9.0,1.0,True,2.645,21.910619248311864,0.16339220738751856,0.6792378704087803
-9.0,2.0,True,2.46,16.057581343777276,0.15707963267948966,0.5658550938899527
-9.0,3.0000000000000004,True,2.13,14.38005337282581,0.15707963267948966,0.4516471405240216
-9.0,4.0,True,1.575,16.9526399515767,0.15707963267948966,0.34095760442551853
-9.0,5.0,True,1.47,23.853929996379765,0.15707963267948966,0.24819792547373745
-9.0,6.000000000000001,True,1.83,35.16363175643558,0.15707963267948966,0.20109419939975906
-9.0,7.0,True,1.985,51.10260390883701,0.15707963267948966,0.1874096794048641
-9.0,8.0,True,2.045,72.6708967316861,0.15707963267948966,0.2099837357152746
-9.0,9.0,True,2.505,101.21375947792,0.15707963267948966,0.3490840549045877
-9.0,10.0,True,2.81,138.57314291812474,0.19219857280288194,0.49586121251039444
-9.0,11.0,True,2.945,187.59747929458658,0.2393234976166245,0.6417074192257968
-9.0,12.000000000000002,True,3.0100000000000002,253.36344645060544,0.29080090724676594,0.7751462494686304
-8.0,-12.000000000000002,True,8.125,6276.7849999992495,1066.8595283001346,4.759195174457428
-8.0,-11.0,False,nan,8811.643029024513,65.02581288873054,2.0616633664385002
-8.0,-10.0,True,8.18,6300.361787431147,3549.026831536738,4.853340689086615
-8.0,-9.0,True,3.085,332.6457384651131,0.3922375764933186,1.371717869964235
-8.0,-8.0,True,3.22,246.12459468479403,0.36241894766571103,1.4230899631924003
-8.0,-7.0,True,3.185,199.91812197097104,0.3346372372977227,1.3518100977696683
-8.0,-6.000000000000001,True,3.1350000000000002,160.98969795519525,0.30777222702812046,1.273942117145395
-8.0,-5.0,True,3.065,127.77585776106898,0.2816314791335009,1.1907046570069713
-8.0,-4.0,True,3.005,99.14907971945617,0.25641965574064557,1.1045726777985863
-8.0,-3.0000000000000004,True,2.96,74.61280149479968,0.23145224145889134,1.0132179175857126
-8.0,-2.0,True,2.9,54.10040729352884,0.2066405988975556,0.9154783355304036
-8.0,-1.0,True,2.815,37.5688352988747,0.18258541458074626,0.8121231230129469
-8.0,0.0,True,2.705,25.017329919717927,0.1605470638261668,0.7040566803280796
-8.0,1.0,True,2.54,16.47536744240675,0.14383559681380556,0.5923809252127008
-8.0,2.0,True,2.27,11.992474646244583,0.13962634015954636,0.4786000867518815
-8.0,3.0000000000000004,True,1.6400000000000001,11.630025456482658,0.13962634015954636,0.36533914880630697
-8.0,4.0,True,1.5,15.45511359692406,0.13962634015954636,0.2600510821856217
-8.0,5.0,True,1.42,23.536632096152914,0.13962634015954636,0.19015567892230578
-8.0,6.000000000000001,True,1.905,35.943736865977186,0.13962634015954636,0.16734579031062685
-8.0,7.0,True,2.0,52.90393880257676,0.13962634015954636,0.16455088911869983
-8.0,8.0,True,2.045,75.34033862420513,0.13962634015954636,0.28266908295408283
-8.0,9.0,True,2.665,104.51860052531487,0.1598128392664574,0.4198757176318781
-8.0,10.0,True,2.865,142.18974302884058,0.20135881313568646,0.5617607031582351
-8.0,11.0,True,2.97,191.07408641966006,0.2470025969536007,0.7010065865508136
-8.0,12.000000000000002,True,3.02,255.97701732810987,0.29638018797959426,0.8273824748943657
-7.0,-12.000000000000002,False,nan,8867.31701623941,118.96974300509557,2.0455460535802037
-7.0,-11.0,False,nan,8803.145483897764,71.27947806109972,2.0389141426490553
-7.0,-10.0,True,2.415,560.6558510359589,0.4089400030561601,1.1779216288125183
-7.0,-9.0,True,3.2,281.27924768403756,0.3743373076785111,1.4130904457302829
-7.0,-8.0,True,3.1950000000000003,225.38266660246404,0.34514253027481284,1.362490748174242
-7.0,-7.0,True,3.15,182.0078312665174,0.31692739340048387,1.28597562297215
-7.0,-6.000000000000001,True,3.085,145.37617995135338,0.289656979256806,1.2035471750556337
-7.0,-5.0,True,3.02,114.0949091907165,0.2632398339500093,1.116784537457725
-7.0,-4.0,True,2.975,87.16942871641761,0.23772742702892755,1.0275128874384454
-7.0,-3.0000000000000004,True,2.9250000000000003,64.22823130086613,0.2123655001866765,0.9330943532808674
-7.0,-2.0,True,2.85,45.237915128333064,0.1871720749924221,0.8327434858368187
-7.0,-1.0,True,2.75,30.173621127691405,0.1627245140817652,0.7272693077117474
-7.0,0.0,True,2.61,19.044846635461088,0.14045994278637222,0.6176171656347186
-7.0,1.0,True,2.3850000000000002,11.884684515303855,0.12451754555344917,0.5049817581490579
-7.0,2.0,True,1.715,8.740963147421072,0.12217304763960307,0.39111888270009304
-7.0,3.0000000000000004,True,1.555,9.669360028849587,0.12217304763960307,0.27988641680578
-7.0,4.0,True,1.44,14.728578577456608,0.12217304763960307,0.18752971349410882
-7.0,5.0,True,1.73,23.97771025781735,0.12217304763960307,0.14946665673490125
-7.0,6.000000000000001,True,1.945,37.47594590059943,0.12217304763960307,0.14252082507054378
-7.0,7.0,True,2.0100000000000002,55.45334910077476,0.12217304763960307,0.23058491353676447
-7.0,8.0,True,2.415,78.77688366063285,0.13962634015954636,0.3573575746510354
-7.0,9.0,True,2.755,108.65608188306648,0.17060680421899588,0.49147002374412924
-7.0,10.0,True,2.9050000000000002,146.78201418967407,0.21124822753238384,0.6280178957165486
-7.0,11.0,True,2.99,195.7678668824205,0.2555072435446294,0.7607038535277925
-7.0,12.000000000000002,True,3.0300000000000002,260.2138460626357,0.3030863882385524,0.8802759570670244
-6.000000000000001,-12.000000000000002,False,nan,8836.60861152353,79.60582955003188,2.0434595116797727
-6.000000000000001,-11.0,False,nan,8874.987140261448,80.21599335166617,2.012343278539237
-6.000000000000001,-10.0,True,2.98,365.2363354855643,0.39038282749878733,1.2731163166677244
-6.000000000000001,-9.0,True,3.2,255.7623336546962,0.35756074798830234,1.3727272273650215
-6.000000000000001,-8.0,True,3.165,206.6524088791331,0.3280553674370998,1.2995481906777058
-6.000000000000001,-7.0,True,3.105,165.75511686233344,0.29939048295335574,1.2180610813698356
-6.000000000000001,-6.000000000000001,True,3.0300000000000002,131.17402480164677,0.27170919661904797,1.1313114193247737
-6.000000000000001,-5.0,True,2.995,101.64518162761033,0.24500424572696256,1.0412657435332062
-6.000000000000001,-4.0,True,2.945,76.29532211330611,0.21917582456260376,0.9490725194238796
-6.000000000000001,-3.0000000000000004,True,2.88,54.85895080586015,0.1934173410712041,0.8517817410748868
-6.000000000000001,-2.0,True,2.79,37.32164451028582,0.16780149209130463,0.7490071094559664
-6.000000000000001,-1.0,True,2.67,23.671648891938123,0.1429303343771577,0.6415910247140878
-6.000000000000001,0.0,True,2.48,13.924691936520396,0.12038039861279791,0.5305379825451286
-6.000000000000001,1.0,True,1.78,8.11445428902782,0.10557873542295683,0.41715091299429147
-6.000000000000001,2.0,True,1.6300000000000001,6.284952075819705,0.10471975511965978,0.30366017068712764
-6.000000000000001,3.0000000000000004,True,1.465,8.484893352347827,0.10471975511965978,0.1972909890048482
